+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: MAL1                                       Wed Jun 10 22:11:26 2020|
|-----------------------------------------------------------------------------|
|          north: 8998072.01423559    east: 887355.39069059                   |
|REGION    south: 8072639.36201714    west: 432826.53844818                   |
|          res:       496.21053738    res:     496.21053738                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__mwi_go_v2 in MAL1)                             |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 243| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    147.24|  0.04|
| 244| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    149.95|  0.04|
| 245| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.14|  0.04|
| 246| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    149.46|  0.04|
| 247| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    160.05|  0.04|
| 248| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    156.11|  0.04|
| 249| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    147.49|  0.04|
| 250| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    151.92|  0.04|
| 251| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    149.46|  0.04|
| 252| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    151.18|  0.04|
| 253| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.38|  0.04|
| 254| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    148.72|  0.04|
| 255| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    152.41|  0.04|
| 256| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    152.41|  0.04|
| 257| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    146.26|  0.03|
| 258| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    161.77|  0.04|
| 259| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    149.70|  0.04|
| 260| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    155.12|  0.04|
| 261| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    149.95|  0.04|
| 262| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    156.85|  0.04|
| 263| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    151.67|  0.04|
| 264| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    156.85|  0.04|
| 265| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    145.77|  0.03|
| 266| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.14|  0.04|
| 267| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.88|  0.04|
