+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: MAL1                                       Thu Apr 16 19:16:46 2020|
|-----------------------------------------------------------------------------|
|          north: 8998072.01423559    east: 887355.39069059                   |
|REGION    south: 8072639.36201714    west: 432826.53844818                   |
|          res:       496.21053738    res:     496.21053738                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__mwi_go in MAL1)                                |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 225| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    158.32|  0.04|
| 226| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    147.98|  0.04|
| 227| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    159.31|  0.04|
| 228| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    161.77|  0.04|
| 229| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    160.29|  0.04|
| 230| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    160.05|  0.04|
| 231| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    151.67|  0.04|
| 232| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    157.83|  0.04|
| 233| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    151.67|  0.04|
| 234| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    161.03|  0.04|
| 235| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    158.32|  0.04|
| 236| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    153.40|  0.04|
| 237| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    146.26|  0.03|
| 238| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    152.41|  0.04|
| 239| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    153.15|  0.04|
| 240| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.88|  0.04|
| 241| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    148.97|  0.04|
| 242| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    165.22|  0.04|
| 243| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    148.23|  0.04|
| 244| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    153.15|  0.04|
| 245| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    155.61|  0.04|
