+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: TZA_PROJ                                   Mon Aug 31 23:15:17 2020|
|-----------------------------------------------------------------------------|
|          north: 10173518.20129205    east: 1736562.50629387                 |
|REGION    south:  8571589.79796037    west:  -140368.6154334                 |
|          res:        500.91569835    res:      500.91569835                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__gotravtime in TZA_PROJ)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 244| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1383|  0.05|
| 245| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1365|  0.05|
| 246| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1385|  0.05|
| 247| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1345|  0.04|
| 248| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1381|  0.05|
| 249| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1361|  0.05|
| 250| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1379|  0.05|
| 251| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1385|  0.05|
| 252| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1350|  0.04|
| 253| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1380|  0.05|
| 254| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1347|  0.04|
| 255| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1391|  0.05|
| 256| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1346|  0.04|
| 257| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1388|  0.05|
| 258| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1359|  0.05|
| 259| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1367|  0.05|
| 260| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1371|  0.05|
| 261| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1379|  0.05|
