+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: RWA1                                       Thu Jun 11 07:23:33 2020|
|-----------------------------------------------------------------------------|
|          north: 9884191.10285493    east: 267001.55683388                   |
|REGION    south: 9685318.51287095    west:  39147.53413866                   |
|          res:       499.67987433    res:     499.67987433                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__rwa_go_facs_v2 in RWA1)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|  #|description                                            |kilometers| cover|
|-----------------------------------------------------------------------------|
|215| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     9.238|  0.02|
|216| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.237|  0.02|
|217| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     9.238|  0.02|
|218| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.487|  0.02|
|219| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     6.492|  0.01|
|220| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     6.741|  0.01|
|221| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     8.739|  0.02|
|222| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     8.988|  0.02|
|223| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     8.988|  0.02|
|224| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     9.488|  0.02|
|225| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.743|  0.01|
|226| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     7.990|  0.02|
|227| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     8.739|  0.02|
|228| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     7.990|  0.02|
|229| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     6.492|  0.01|
|230| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.493|  0.01|
|231| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     8.988|  0.02|
|232| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     7.740|  0.02|
|233| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.992|  0.01|
|234| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     7.990|  0.02|
|235| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.994|  0.01|
|236| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     8.988|  0.02|
|237| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.493|  0.01|
|238| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     6.741|  0.01|
|239| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     6.991|  0.02|
|240| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     6.242|  0.01|
|241| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.994|  0.01|
|242| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.493|  0.01|
|243| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     7.740|  0.02|
|244| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     6.741|  0.01|
|245| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.994|  0.01|
|246| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     6.242|  0.01|
|247| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.494|  0.01|
|248| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.493|  0.01|
|249| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.493|  0.01|
|250| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     6.242|  0.01|
|251| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.743|  0.01|
|252| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.243|  0.01|
|253| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.243|  0.01|
|254| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.245|  0.01|
|255| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     3.995|  0.01|
|256| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.743|  0.01|
|257| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.994|  0.01|
|258| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     6.242|  0.01|
|259| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.245|  0.01|
|260| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.994|  0.01|
|261| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.743|  0.01|
|262| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.245|  0.01|
|263| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     2.996|  0.01|
|264| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.243|  0.01|
|265| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.245|  0.01|
|266| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.743|  0.01|
|267| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.245|  0.01|
|268| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     3.745|  0.01|
|269| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.494|  0.01|
|270| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     6.242|  0.01|
|271| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     2.996|  0.01|
|272| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.243|  0.01|
|273| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     3.995|  0.01|
|274| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.494|  0.01|
|275| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.744|  0.01|
|276| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.494|  0.01|
|277| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.243|  0.01|
|278| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.994|  0.01|
|279| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     3.496|  0.01|
|280| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.494|  0.01|
|281| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.493|  0.01|
|282| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     3.995|  0.01|
|283| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     3.246|  0.01|
|284| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.494|  0.01|
|285| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.994|  0.01|
|286| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     3.995|  0.01|
|287| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.245|  0.01|
|288| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.245|  0.01|
|289| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     3.995|  0.01|
|290| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     5.992|  0.01|
|291| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.494|  0.01|
|292| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     4.494|  0.01|
|293| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     2.746|  0.01|
