+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: KEN2                                       Wed Jun 10 22:06:35 2020|
|-----------------------------------------------------------------------------|
|          north: 10674432.43287579    east:  977778.28195199                 |
|REGION    south:  9386262.60103682    west: -169427.68004663                 |
|          res:        499.87187887    res:      499.87187887                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__ken_go_v2_analysis in KEN2)                    |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|    #|description                                          |kilometers| cover|
|-----------------------------------------------------------------------------|
|  129| . . . . . . . . . . . . . . . . . . . . . . . . . . |       975|  0.07|
|  130| . . . . . . . . . . . . . . . . . . . . . . . . . . |       924|  0.06|
|  131| . . . . . . . . . . . . . . . . . . . . . . . . . . |       951|  0.06|
|  132| . . . . . . . . . . . . . . . . . . . . . . . . . . |       956|  0.06|
|  133| . . . . . . . . . . . . . . . . . . . . . . . . . . |       943|  0.06|
|  134| . . . . . . . . . . . . . . . . . . . . . . . . . . |       933|  0.06|
|  135| . . . . . . . . . . . . . . . . . . . . . . . . . . |       948|  0.06|
|  136| . . . . . . . . . . . . . . . . . . . . . . . . . . |       941|  0.06|
|  137| . . . . . . . . . . . . . . . . . . . . . . . . . . |       933|  0.06|
|  138| . . . . . . . . . . . . . . . . . . . . . . . . . . |       939|  0.06|
|  139| . . . . . . . . . . . . . . . . . . . . . . . . . . |       948|  0.06|
|  140| . . . . . . . . . . . . . . . . . . . . . . . . . . |       933|  0.06|
|  141| . . . . . . . . . . . . . . . . . . . . . . . . . . |       935|  0.06|
|  142| . . . . . . . . . . . . . . . . . . . . . . . . . . |       917|  0.06|
|  143| . . . . . . . . . . . . . . . . . . . . . . . . . . |       933|  0.06|
|  144| . . . . . . . . . . . . . . . . . . . . . . . . . . |       921|  0.06|
|  145| . . . . . . . . . . . . . . . . . . . . . . . . . . |       929|  0.06|
|  146| . . . . . . . . . . . . . . . . . . . . . . . . . . |       945|  0.06|
|  147| . . . . . . . . . . . . . . . . . . . . . . . . . . |       926|  0.06|
|  148| . . . . . . . . . . . . . . . . . . . . . . . . . . |       903|  0.06|
|  149| . . . . . . . . . . . . . . . . . . . . . . . . . . |       921|  0.06|
|  150| . . . . . . . . . . . . . . . . . . . . . . . . . . |       915|  0.06|
|  151| . . . . . . . . . . . . . . . . . . . . . . . . . . |       931|  0.06|
|  152| . . . . . . . . . . . . . . . . . . . . . . . . . . |       903|  0.06|
|  153| . . . . . . . . . . . . . . . . . . . . . . . . . . |       913|  0.06|
|  154| . . . . . . . . . . . . . . . . . . . . . . . . . . |       921|  0.06|
|  155| . . . . . . . . . . . . . . . . . . . . . . . . . . |       903|  0.06|
|  156| . . . . . . . . . . . . . . . . . . . . . . . . . . |       895|  0.06|
|  157| . . . . . . . . . . . . . . . . . . . . . . . . . . |       919|  0.06|
|  158| . . . . . . . . . . . . . . . . . . . . . . . . . . |       899|  0.06|
|  159| . . . . . . . . . . . . . . . . . . . . . . . . . . |       885|  0.06|
|  160| . . . . . . . . . . . . . . . . . . . . . . . . . . |       912|  0.06|
|  161| . . . . . . . . . . . . . . . . . . . . . . . . . . |       896|  0.06|
|  162| . . . . . . . . . . . . . . . . . . . . . . . . . . |       902|  0.06|
|  163| . . . . . . . . . . . . . . . . . . . . . . . . . . |       891|  0.06|
|  164| . . . . . . . . . . . . . . . . . . . . . . . . . . |       890|  0.06|
|  165| . . . . . . . . . . . . . . . . . . . . . . . . . . |       898|  0.06|
|  166| . . . . . . . . . . . . . . . . . . . . . . . . . . |       919|  0.06|
|  167| . . . . . . . . . . . . . . . . . . . . . . . . . . |       886|  0.06|
|  168| . . . . . . . . . . . . . . . . . . . . . . . . . . |       894|  0.06|
|  169| . . . . . . . . . . . . . . . . . . . . . . . . . . |       879|  0.06|
|  170| . . . . . . . . . . . . . . . . . . . . . . . . . . |       884|  0.06|
|  171| . . . . . . . . . . . . . . . . . . . . . . . . . . |       881|  0.06|
|  172| . . . . . . . . . . . . . . . . . . . . . . . . . . |       880|  0.06|
|  173| . . . . . . . . . . . . . . . . . . . . . . . . . . |       882|  0.06|
|  174| . . . . . . . . . . . . . . . . . . . . . . . . . . |       857|  0.06|
|  175| . . . . . . . . . . . . . . . . . . . . . . . . . . |       887|  0.06|
|  176| . . . . . . . . . . . . . . . . . . . . . . . . . . |       856|  0.06|
|  177| . . . . . . . . . . . . . . . . . . . . . . . . . . |       850|  0.06|
|  178| . . . . . . . . . . . . . . . . . . . . . . . . . . |       854|  0.06|
|  179| . . . . . . . . . . . . . . . . . . . . . . . . . . |       874|  0.06|
|  180| . . . . . . . . . . . . . . . . . . . . . . . . . . |       864|  0.06|
|  181| . . . . . . . . . . . . . . . . . . . . . . . . . . |       870|  0.06|
|  182| . . . . . . . . . . . . . . . . . . . . . . . . . . |       852|  0.06|
|  183| . . . . . . . . . . . . . . . . . . . . . . . . . . |       840|  0.06|
|  184| . . . . . . . . . . . . . . . . . . . . . . . . . . |       835|  0.06|
|  185| . . . . . . . . . . . . . . . . . . . . . . . . . . |       838|  0.06|
|  186| . . . . . . . . . . . . . . . . . . . . . . . . . . |       827|  0.06|
|  187| . . . . . . . . . . . . . . . . . . . . . . . . . . |       842|  0.06|
|  188| . . . . . . . . . . . . . . . . . . . . . . . . . . |       830|  0.06|
|  189| . . . . . . . . . . . . . . . . . . . . . . . . . . |       837|  0.06|
|  190| . . . . . . . . . . . . . . . . . . . . . . . . . . |       823|  0.06|
|  191| . . . . . . . . . . . . . . . . . . . . . . . . . . |       809|  0.05|
|  192| . . . . . . . . . . . . . . . . . . . . . . . . . . |       818|  0.06|
|  193| . . . . . . . . . . . . . . . . . . . . . . . . . . |       811|  0.05|
|  194| . . . . . . . . . . . . . . . . . . . . . . . . . . |       821|  0.06|
|  195| . . . . . . . . . . . . . . . . . . . . . . . . . . |       810|  0.05|
|  196| . . . . . . . . . . . . . . . . . . . . . . . . . . |       784|  0.05|
|  197| . . . . . . . . . . . . . . . . . . . . . . . . . . |       813|  0.06|
|  198| . . . . . . . . . . . . . . . . . . . . . . . . . . |       798|  0.05|
|  199| . . . . . . . . . . . . . . . . . . . . . . . . . . |       798|  0.05|
|  200| . . . . . . . . . . . . . . . . . . . . . . . . . . |       797|  0.05|
|  201| . . . . . . . . . . . . . . . . . . . . . . . . . . |       809|  0.05|
|  202| . . . . . . . . . . . . . . . . . . . . . . . . . . |       800|  0.05|
|  203| . . . . . . . . . . . . . . . . . . . . . . . . . . |       783|  0.05|
|  204| . . . . . . . . . . . . . . . . . . . . . . . . . . |       780|  0.05|
|  205| . . . . . . . . . . . . . . . . . . . . . . . . . . |       788|  0.05|
|  206| . . . . . . . . . . . . . . . . . . . . . . . . . . |       791|  0.05|
|  207| . . . . . . . . . . . . . . . . . . . . . . . . . . |       770|  0.05|
|  208| . . . . . . . . . . . . . . . . . . . . . . . . . . |       750|  0.05|
|  209| . . . . . . . . . . . . . . . . . . . . . . . . . . |       776|  0.05|
|  210| . . . . . . . . . . . . . . . . . . . . . . . . . . |       755|  0.05|
|  211| . . . . . . . . . . . . . . . . . . . . . . . . . . |       760|  0.05|
|  212| . . . . . . . . . . . . . . . . . . . . . . . . . . |       760|  0.05|
|  213| . . . . . . . . . . . . . . . . . . . . . . . . . . |       751|  0.05|
|  214| . . . . . . . . . . . . . . . . . . . . . . . . . . |       748|  0.05|
|  215| . . . . . . . . . . . . . . . . . . . . . . . . . . |       762|  0.05|
|  216| . . . . . . . . . . . . . . . . . . . . . . . . . . |       749|  0.05|
|  217| . . . . . . . . . . . . . . . . . . . . . . . . . . |       751|  0.05|
|  218| . . . . . . . . . . . . . . . . . . . . . . . . . . |       762|  0.05|
|  219| . . . . . . . . . . . . . . . . . . . . . . . . . . |       750|  0.05|
|  220| . . . . . . . . . . . . . . . . . . . . . . . . . . |       755|  0.05|
|  221| . . . . . . . . . . . . . . . . . . . . . . . . . . |       762|  0.05|
|  222| . . . . . . . . . . . . . . . . . . . . . . . . . . |       744|  0.05|
|  223| . . . . . . . . . . . . . . . . . . . . . . . . . . |       754|  0.05|
|  224| . . . . . . . . . . . . . . . . . . . . . . . . . . |       761|  0.05|
|  225| . . . . . . . . . . . . . . . . . . . . . . . . . . |       749|  0.05|
|  226| . . . . . . . . . . . . . . . . . . . . . . . . . . |       737|  0.05|
|  227| . . . . . . . . . . . . . . . . . . . . . . . . . . |       746|  0.05|
|  228| . . . . . . . . . . . . . . . . . . . . . . . . . . |       758|  0.05|
|  229| . . . . . . . . . . . . . . . . . . . . . . . . . . |       740|  0.05|
|  230| . . . . . . . . . . . . . . . . . . . . . . . . . . |       755|  0.05|
|  231| . . . . . . . . . . . . . . . . . . . . . . . . . . |       746|  0.05|
|  232| . . . . . . . . . . . . . . . . . . . . . . . . . . |       761|  0.05|
|  233| . . . . . . . . . . . . . . . . . . . . . . . . . . |       770|  0.05|
|  234| . . . . . . . . . . . . . . . . . . . . . . . . . . |       758|  0.05|
|  235| . . . . . . . . . . . . . . . . . . . . . . . . . . |       760|  0.05|
