+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: UPDATE_T4                                  Thu Apr 16 19:10:51 2020|
|-----------------------------------------------------------------------------|
|          north: 9903473.48523095    east: 1338069.53726927                  |
|REGION    south: 8684078.08687044    west:   74062.11213946                  |
|          res:       929.41722436    res:      929.41722436                  |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__tz_go_merge in UPDATE_T4)                      |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 249| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1227|  0.08|
| 250| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1194|  0.08|
| 251| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1201|  0.08|
| 252| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1225|  0.08|
| 253| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1258|  0.08|
| 254| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1197|  0.08|
| 255| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1208|  0.08|
| 256| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1214|  0.08|
| 257| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1242|  0.08|
| 258| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1201|  0.08|
| 259| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1173|  0.08|
| 260| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1185|  0.08|
| 261| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1176|  0.08|
| 262| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1228|  0.08|
| 263| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1166|  0.08|
| 264| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1161|  0.08|
| 265| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1170|  0.08|
| 266| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1161|  0.08|
| 267| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1181|  0.08|
| 268| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1136|  0.07|
| 269| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1128|  0.07|
| 270| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1119|  0.07|
| 271| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1183|  0.08|
| 272| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1113|  0.07|
| 273| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1106|  0.07|
| 274| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1113|  0.07|
