+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: UPDATE_T4                                  Wed Jun 10 22:29:57 2020|
|-----------------------------------------------------------------------------|
|          north: 9903473.48523095    east: 1338069.53726927                  |
|REGION    south: 8684078.08687044    west:   74062.11213946                  |
|          res:       929.41722436    res:      929.41722436                  |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__tz_go_v2 in UPDATE_T4)                         |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 133| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1050|  0.07|
| 134| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1139|  0.07|
| 135| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1125|  0.07|
| 136| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1094|  0.07|
| 137| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1150|  0.07|
| 138| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1133|  0.07|
| 139| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1170|  0.08|
| 140| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1117|  0.07|
| 141| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1128|  0.07|
| 142| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1180|  0.08|
| 143| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1116|  0.07|
| 144| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1136|  0.07|
| 145| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1158|  0.08|
| 146| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1175|  0.08|
| 147| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1227|  0.08|
| 148| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1171|  0.08|
| 149| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1132|  0.07|
| 150| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1179|  0.08|
| 151| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1244|  0.08|
| 152| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1226|  0.08|
| 153| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1193|  0.08|
| 154| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1166|  0.08|
| 155| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1207|  0.08|
| 156| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1203|  0.08|
| 157| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1221|  0.08|
| 158| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1232|  0.08|
| 159| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1177|  0.08|
| 160| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1323|  0.09|
| 161| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1278|  0.08|
| 162| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1242|  0.08|
| 163| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1290|  0.08|
| 164| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1284|  0.08|
| 165| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1310|  0.09|
| 166| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1323|  0.09|
| 167| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1303|  0.08|
| 168| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1272|  0.08|
| 169| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1315|  0.09|
| 170| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1342|  0.09|
| 171| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1371|  0.09|
| 172| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1345|  0.09|
| 173| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1363|  0.09|
| 174| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1361|  0.09|
| 175| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1363|  0.09|
| 176| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1346|  0.09|
| 177| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1371|  0.09|
| 178| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1407|  0.09|
| 179| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1426|  0.09|
| 180| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1378|  0.09|
| 181| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1398|  0.09|
| 182| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1468|  0.10|
