+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: TZA_PROJ                                   Mon Aug 31 23:15:22 2020|
|-----------------------------------------------------------------------------|
|          north: 10173518.20129205    east: 1736562.50629387                 |
|REGION    south:  8571589.79796037    west:  -140368.6154334                 |
|          res:        500.91569835    res:      500.91569835                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__t1travtime in TZA_PROJ)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 174| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1184|  0.04|
| 175| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1168|  0.04|
| 176| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1167|  0.04|
| 177| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1154|  0.04|
| 178| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1135|  0.04|
| 179| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1132|  0.04|
| 180| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1124|  0.04|
| 181| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1102|  0.04|
| 182| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1103|  0.04|
| 183| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1116|  0.04|
| 184| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1090|  0.04|
| 185| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1096|  0.04|
| 186| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1078|  0.04|
| 187| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1082|  0.04|
| 188| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1070|  0.04|
| 189| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1062|  0.04|
| 190| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1070|  0.04|
| 191| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1055|  0.04|
| 192| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1026|  0.03|
| 193| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1053|  0.04|
| 194| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1025|  0.03|
| 195| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1051|  0.03|
| 196| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       991|  0.03|
| 197| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1037|  0.03|
| 198| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       987|  0.03|
| 199| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1019|  0.03|
| 200| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1006|  0.03|
| 201| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       977|  0.03|
| 202| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1001|  0.03|
| 203| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       964|  0.03|
| 204| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       991|  0.03|
| 205| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       960|  0.03|
| 206| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       986|  0.03|
| 207| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       966|  0.03|
| 208| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       958|  0.03|
| 209| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       945|  0.03|
| 210| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       922|  0.03|
| 211| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       955|  0.03|
| 212| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       918|  0.03|
| 213| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       946|  0.03|
| 214| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       909|  0.03|
| 215| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       917|  0.03|
| 216| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       903|  0.03|
| 217| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       900|  0.03|
| 218| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       919|  0.03|
| 219| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       912|  0.03|
| 220| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       902|  0.03|
| 221| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       883|  0.03|
| 222| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       881|  0.03|
| 223| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       890|  0.03|
| 224| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       876|  0.03|
| 225| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       887|  0.03|
| 226| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       875|  0.03|
